Piloto      Equipo                             BahrÃ©in      Arabia   Australia       JapÃ³n       China       Miami       Imola      MÃ³naco      CanadÃ¡   Barcelona     Austria  Inglaterra     Hungria     BÃ©lgica    P. Bajos      Italia  Aserbajian    Singapur      EE.UU.      MÃ©xico      Brasil
Albon       Williams Mercedes                       15          11          11           0          12          18           0           9           0          18          15           9          14          12          14           9           7           0          16           0           0
Alonso      Aston Martin Aramco Mercedes             9           5           8           6           7           9          19          11           6          12          18           8          11           8          10          11           6           8          13           0          14
Bearman     Haas Ferrari                             0           7           0           0           0           0           0           0           0           0           0           0           0           0           0           0          10           0           0           0          12
Bottas      Kick Sauber Ferrari                     19          17          14          14           0          16          18          13          13          16          16          15          16          15          19          16          16          16          17          14          13
Colapinto   Williams Mercedes                        0           0           0           0           0           0           0           0           0           0           0           0           0           0           0          12           8          11          10          12           0
Gasly       Alpine Renault                          18           0          13          16          13          12          16          10           9           9          10           0           0          13           9          15          12          17          12          10           3
Hamilton    Mercedes                                 7           9           0           9           9           6           6           7           4           3           4           1           3           1           8           5           9           6           0           4          10
Hulkenberg  Haas Ferrari                            16          10           9          11          10          11          11           0          11          11           6           6          13          18          11          17          11           9           8           9           0
Lawson      RB Honda RBPT                            0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           9          16           9
Leclerc     Ferrari                                  4           3           2           4           4           3           3           1           0           5          11          14           4           3           3           1           2           5           1           3           5
Magnussen   Haas Ferrari                            12          12          10          13          16          19          12           0          12          17           8          12          15          14          18          10           0          19          11           7           0
Norris      McLaren Mercedes                         6           8           3           5           2           1           2           4           2           2          20           3           2           5           1           3           4           1           4           2           6
Ocon        Alpine Renault                          17          13          16          15          11          10          14           0          10          10          12          16          18           9          15          14          15          13          18          13           2
Perez       Red Bull Racing Honda RBPT               2           2           5           2           3           4           8           0           0           8           7          17           7           7           6           8          17          10           7          17          11
Piastri     McLaren Mercedes                         8           4           4           8           8          13           4           2           5           7           2           4           1           2           4           2           1           3           5           8           8
Ricciardo   RB Honda RBPT                           13          16          12           0           0          15          13          12           8          15           9          13          12          10          12          13          13          18           0           0           0
Russell     Mercedes                                 5           6          17           7           6           8           7           5           3           4           1           0           8           0           7           7           3           4           6           5           4
Sainz       Ferrari                                  3           0           1           3           5           5           5           3           0           6           3           5           6           6           5           4          18           7           2           1           0
Sargeant    Williams Mercedes                       20          14           0          17          17           0          17          15           0          20          19          11          17          17          16           0           0           0           0           0           0
Stroll      Aston Martin Aramco Mercedes            10           0           6          12          15          17           9          14           7          14          13           7          10          11          13          19          19          14          15          11           0
Tsunoda     RB Honda RBPT                           14          15           7          10           0           7          10           8          14          19          14          10           9          16          17           0           0          12          14           0           7
Verstappen  Red Bull Racing Honda RBPT               1           1           0           1           1           2           1           6           1           1           5           2           5           4           2           6           5           2           3           6           1
Zhou        Kick Sauber Ferrari                     11          18          15           0          14          14          15          16          15          13          17          18          19           0          20          18          14          15          19          15          15
